Cloud-J v7.5A NEW cloud scattering and absorption:  17:18 bin edge now 485 nm, 18:19 = 778 nm (RRTMG)
  03 = liquid-water Mie, ice-water irregular&warm, ice-water hexagonal&cold
  06 = number of effective radii (microns)
Use bin#12 for bins#1:#11 (very little light in trop)
water clouds use std Mie with liquid-water refr index & C1/Deirmenjian gamma distrib: alfa=6, Reff given, rho=1.00
ice   clouds use Mie with ice-water refr index to get PI0, Q, rho = 0.917
           scattering uses Mishchenko 8-term phase fn for all sizes with cold (hexag) & warm (irreg)
FJ# Weff Reff  Geff  NReal NImag   Q-ext PI0=ssa P1:P7
Liquid Water 1.00000
22 1.768 48.0 5004. 1.313 3.3E-04 2.069 0.91501 2.676 4.117 5.050 5.828 6.694 7.431 8.369

23 2.040  1.5   4.9 1.302 9.1E-04 2.672 0.99357 2.534 3.492 3.803 3.705 3.320 2.790 2.234
23 2.040  3.0  19.5 1.302 9.1E-04 2.919 0.98778 2.459 3.532 3.982 4.219 4.261 4.199 4.082
23 2.040  6.0  78.2 1.302 9.1E-04 2.320 0.96970 2.425 3.644 4.189 4.753 5.206 5.628 6.002
23 2.040 12.0 312.8 1.302 9.1E-04 2.198 0.94294 2.575 3.928 4.700 5.387 6.068 6.633 7.271
23 2.040 24.0 1251. 1.302 9.1E-04 2.122 0.89774 2.659 4.084 5.004 5.788 6.627 7.337 8.183
23 2.040 48.0 5004. 1.302 9.1E-04 2.076 0.82417 2.729 4.222 5.300 6.225 7.216 8.112 9.147

24 2.309  1.5   4.9 1.283 6.8E-04 2.158 0.99497 2.529 3.423 3.634 3.414 2.917 2.322 1.740
24 2.309  3.0  19.5 1.283 6.8E-04 3.129 0.99272 2.554 3.695 4.274 4.545 4.578 4.447 4.222
24 2.309  6.0  78.2 1.283 6.8E-04 2.363 0.98063 2.423 3.606 4.129 4.583 4.939 5.264 5.531
24 2.309 12.0 312.8 1.283 6.8E-04 2.220 0.96084 2.564 3.922 4.698 5.361 6.021 6.543 7.097
24 2.309 24.0 1251. 1.283 6.8E-04 2.135 0.92916 2.650 4.079 4.997 5.735 6.542 7.185 7.938
24 2.309 48.0 5004. 1.283 6.8E-04 2.083 0.87426 2.715 4.200 5.245 6.089 7.011 7.797 8.709

25 2.752  1.5   4.9 1.241 1.0E-01 1.580 0.51326 2.542 3.313 3.354 2.931 2.296 1.651 1.102
25 2.752  3.0  19.5 1.241 1.0E-01 2.407 0.56532 2.768 4.125 5.034 5.544 5.715 5.613 5.303
25 2.752  6.0  78.2 1.241 1.0E-01 2.380 0.51514 2.854 4.482 5.868 7.037 8.011 8.807 9.435
25 2.752 12.0 312.8 1.241 1.0E-01 2.211 0.49798 2.911 4.722 6.422 8.022 9.52510.93312.245
25 2.752 24.0 1251. 1.241 1.0E-01 2.132 0.51108 2.928 4.799 6.607 8.36310.07011.72813.337
25 2.752 48.0 5004. 1.241 1.0E-01 2.084 0.52060 2.933 4.824 6.671 8.49110.28612.05813.807

26 3.408  1.5   4.9 1.427 4.9E-02 2.216 0.78674 2.284 2.668 2.359 1.782 1.187 0.720 0.396
26 3.408  3.0  19.5 1.427 4.9E-02 3.043 0.73609 2.459 3.344 3.674 3.713 3.534 3.194 2.808
