FJX_scat-ssa.dat v7.5A    S=27 RRTMG & 17:18 edge = 485nm (05/2019)
Strat Sulf Aer: 220-250-280K x 50-70-90%
  18  27  SSA-Bkgd or SSA-Volc: Reff, Geff, Dens, T(K), wt(%)
bin  wavel  nr     ni      Q       pi0      P1    P2    P3    P4    P5    P6    P7
17  0.4290  1.4300 0.0E+00 1.14248 1.00000 2.010 2.137 1.658 1.180 0.768 0.499 0.321
18  0.6310  1.4230 2.0E-08 0.53928 1.00000 1.739 1.645 1.061 0.639 0.353 0.198 0.104
19  0.9730  1.4160 1.5E-06 0.18585 0.99998 1.301 1.121 0.533 0.239 0.095 0.039 0.015
20  1.2700  1.4080 8.6E-06 0.08592 0.99978 1.004 0.874 0.321 0.112 0.036 0.013 0.004
21  1.4480  1.4130 9.4E-05 0.06007 0.99694 0.868 0.780 0.248 0.074 0.021 0.007 0.002
22  1.7670  1.4050 4.7E-04 0.03033 0.97630 0.669 0.671 0.167 0.040 0.009 0.003 0.001
23  2.0390  1.3930 1.3E-03 0.01892 0.91143 0.540 0.615 0.127 0.024 0.005 0.001 0.000
24  2.3090  1.3710 2.1E-03 0.01174 0.80207 0.441 0.579 0.100 0.016 0.003 0.001 0.000
25  2.7480  1.3050 5.1E-02 0.04025 0.07080 0.317 0.543 0.072 0.009 0.001 0.000 0.000
26  3.4040  1.3520 1.6E-01 0.09443 0.02104 0.221 0.521 0.047 0.004 0.000 0.000 0.000
27  5.3620  1.3900 2.0E-01 0.06943 0.00634 0.099 0.504 0.020 0.001 0.000 0.000 0.000
Bkgd280K70  0.1308  0.0245  1.6268   280.0    70.0
 5  0.2020  1.4880 0.0E+00 2.92310 1.00000 2.128 2.667 2.467 2.210 1.798 1.448 1.142
 6  0.2080  1.4880 0.0E+00 2.88842 1.00000 2.129 2.654 2.446 2.172 1.754 1.399 1.094
 7  0.2110  1.4880 0.0E+00 2.87074 1.00000 2.128 2.647 2.435 2.154 1.734 1.378 1.073
 8  0.2140  1.4880 0.0E+00 2.85391 1.00000 2.128 2.640 2.424 2.137 1.714 1.357 1.053
 9  0.2620  1.4550 0.0E+00 2.35319 1.00000 2.161 2.601 2.341 1.961 1.504 1.128 0.832
10  0.2670  1.4520 0.0E+00 2.29367 1.00000 2.161 2.592 2.325 1.935 1.477 1.100 0.805
11  0.2770  1.4470 0.0E+00 2.18400 1.00000 2.158 2.571 2.288 1.884 1.420 1.045 0.754
12  0.2950  1.4390 0.0E+00 1.99809 1.00000 2.151 2.530 2.219 1.791 1.321 0.950 0.669
13  0.3030  1.4360 0.0E+00 1.91508 1.00000 2.146 2.509 2.183 1.747 1.275 0.907 0.633
14  0.3100  1.4340 0.0E+00 1.85329 1.00000 2.142 2.490 2.154 1.710 1.239 0.876 0.606
15  0.3160  1.4350 0.0E+00 1.81134 1.00000 2.134 2.467 2.119 1.671 1.200 0.842 0.578
16  0.3330  1.4340 0.0E+00 1.68751 1.00000 2.117 2.415 2.042 1.582 1.117 0.771 0.522
17  0.4290  1.4220 0.0E+00 1.11245 1.00000 2.018 2.152 1.677 1.197 0.783 0.510 0.329
18  0.6310  1.4140 2.0E-08 0.51961 1.00000 1.743 1.653 1.070 0.646 0.358 0.201 0.106
19  0.9730  1.4080 1.5E-06 0.17957 0.99998 1.299 1.122 0.535 0.239 0.096 0.040 0.015
20  1.2700  1.3980 8.6E-06 0.08178 0.99976 1.001 0.874 0.322 0.112 0.036 0.013 0.004
21  1.4480  1.3960 9.4E-05 0.05457 0.99667 0.862 0.779 0.249 0.075 0.021 0.007 0.002
22  1.7670  1.3880 4.7E-04 0.02852 0.97413 0.664 0.670 0.168 0.040 0.009 0.003 0.001
